gqid,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
63,301.6453377,301.4177456,301.0849487,300.7418371,300.5929225,300.4481896,300.3538146,300.1514763,300.3650261,300.2917208,300.3414493,300.1369706,300.4103461,300.8877723,300.8638274,300.5812852,300.3828815,300.2799797,300.9821756,301.0397434,300.6263515,300.3494785,300.417071
64,301.2408653,300.9529681,300.4207174,300.1074051,300.0929134,299.5673434,300.0451489,299.9652678,300.5961307,300.400543,300.2287641,300.019216,300.3508683,301.1507833,301.4209031,300.4739973,299.4571577,300.307304,301.0280893,301.1062271,300.334219,300.0635034,300.1818525
65,298.3863604,298.0794257,297.8979904,297.7701858,298.350884,298.021749,298.4164162,298.1538648,298.1847022,298.0468413,297.9551922,298.1201882,298.2858988,297.7369446,298.0952995,297.7990257,297.938409,297.3109285,297.7425348,298.2066618,297.9539507,298.0026978,298.1781534
66,301.8521227,301.2902175,300.9575298,300.3562434,301.455659,301.209815,301.1957133,301.1314364,301.1090999,301.7370304,301.4976336,300.6967439,301.4748862,301.4648962,301.636426,300.9811097,300.5490967,300.3636414,301.5643488,301.7398491,300.7510513,300.4665385,301.118974
67,300.6920824,300.1123828,299.7383452,299.441417,299.5669381,298.7652415,299.5012111,299.4765654,299.6527068,299.5209679,299.6619897,299.3535445,300.0119296,300.4089487,301.2177805,300.1126313,299.4520279,299.494638,299.8622234,300.4447134,300.0257784,299.2991823,299.6021122
68,301.0411286,300.9933962,300.7987698,300.3467029,300.1239615,300.0823261,300.1258328,299.8651836,300.1355902,300.0978984,300.1051762,300.0418862,300.4469125,300.8918348,301.1649709,300.4829646,300.2729471,300.3575718,300.8257932,300.8355717,300.4892351,300.0674207,300.0339867
69,306.7436912,307.1585529,306.5417126,305.4987083,304.7701719,305.3932649,306.4576346,305.8662895,306.0307261,305.6652641,304.9089439,304.8491228,306.2740385,306.2716271,307.024728,305.6260896,304.8920325,305.7390799,306.9051376,306.3787988,306.1266788,306.2973586,305.3477181
70,303.2016992,302.9151853,301.81728,301.9127305,302.641107,302.0642604,302.697891,302.5008222,302.8392935,303.2950758,302.4710406,302.1888376,302.28029,302.5735021,304.5369547,302.0710081,301.9303004,301.3314597,302.5428608,303.2732234,302.8670187,301.9180314,302.0110263
71,301.6982335,301.4856914,301.1886214,300.4350341,300.212333,300.3435909,300.3627965,300.1128839,300.72437,300.5581662,300.3837511,300.2093013,300.6263476,301.3978381,301.9611412,300.6883572,299.8823396,300.9075537,301.2695115,301.4380925,300.6143349,300.2771853,300.5129351
72,304.9472201,304.0555409,303.847067,302.8749446,303.1103512,303.1178489,303.4996795,303.8964065,303.4966579,303.4752869,303.1920727,302.9008908,303.8742942,305.1004577,305.8621223,303.0313119,302.5480036,303.2471881,304.8015308,304.103574,303.3015513,301.9756941,303.4395319
73,302.6889761,302.5724718,301.1230073,301.5297968,301.6795104,301.8861103,302.1883135,301.4604773,301.6494335,301.4687685,300.9749729,301.0373924,301.6936322,302.4099991,302.8943414,301.7052893,301.1557696,301.6302178,302.0353699,301.8968207,302.1179923,301.6594365,301.9056981
74,304.702715,304.4075639,304.3213508,304.0455937,304.4404632,304.3400762,304.2605943,304.1894766,304.4373681,304.7069781,304.7894142,304.189827,304.8318369,304.794015,305.1395326,304.4217104,304.727252,304.3501135,305.4900579,305.0845944,304.6266791,303.9301166,304.5560703
75,300.040177,299.4837817,299.3643145,298.8657778,299.7083487,299.4592909,299.7717235,299.6458552,299.5490252,300.0041557,299.8082197,299.2852161,299.6327957,299.6871333,299.8438577,299.3900874,299.1037501,298.8767025,300.1448985,299.9938201,299.2338817,299.1478878,299.6577708
76,304.8939874,305.0770494,304.3663986,303.4748899,302.8838892,303.1002171,304.4139835,303.1251533,303.8829205,303.4896249,302.8941476,302.7806317,303.8847159,304.2663354,305.1698389,303.7958694,302.9874867,303.6343846,304.604715,304.2953625,304.1430909,304.1938623,303.3362852
