,code,name,latitude,longitude,start,close,type,year,Administrativos (femeninos),Administrativos (masculinos),Gastos: Agua,Gastos: Electricidad,Gastos: Infotep,Gastos: TSS,Gastos: Telecomunicaciones,Inversion Acumulada,Naves Construidas,Naves Ocupadas,Numero de Empresas,Obreros (femeninos),Obreros (masculinos),Salario Operarios,Salario Tecnicos,Tecnicos (femeninos),Tecnicos (masculinos)
1407,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2013,,,21814489.68,224571070.4,18653705.25,577291276.6,31120537.85,309542374.3,4418208.71,4418208.71,74.0,,,2302.97,4478.57,,
1408,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2014,453.0,512.0,26372764.74,293475351.9,21115489.4,375618476.3,37451294.78,327431525.0,4304254.48,4174200.74,74.0,7954.0,6952.0,2262.25,4437.07,563.0,1449.0
1409,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2015,544.0,547.0,32558019.14,291582455.3,24732793.16,632323833.5,42307567.05,394255108.6,4362630.59,4177185.13,75.0,8331.0,7051.0,2533.83,4730.49,409.0,1333.0
1410,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2016,560.0,556.0,32161.21,386730.67,25948.89,527000.37,44071.28,481804920.0,5358867.29,5328267.29,77.0,7403.0,7085.0,2771.93,5385.03,391.0,1631.0
1411,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1415,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1416,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
