,code,name,latitude,longitude,start,close,type,variable,value,category,year,category_full
21271,DOM-MAI,Zona Franca Bah’a de Maimon,0.0,0.0,2015.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21272,DOM-MEL,Villa Mella ,18.522265,-69.90166418,1989.0,0.0,public,buiilt_2006,362817.28,buiilt,2006,Naves Construidas
21273,DOM-MIN,Los Minas,0.0,0.0,2000.0,2009.0,public,buiilt_2006,35458.0,buiilt,2006,Naves Construidas
21274,DOM-MOC,Moca  ,19.39023321,-70.5372859,1989.0,0.0,public,buiilt_2006,512167.0,buiilt,2006,Naves Construidas
21275,DOM-MOI,Montecristi ,0.0,0.0,2001.0,2005.0,public,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21276,DOM-MUL,Multimodal Caucedo ,18.42636819,-69.63506753,2002.0,0.0,private,buiilt_2006,96302.0,buiilt,2006,Naves Construidas
21277,DOM-MUT,Multiparques S.A,18.40888469,-70.03948595,2007.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21278,DOM-NAV,Navarrete ,19.56817155,-70.87355309,1996.0,0.0,private,buiilt_2006,200000.0,buiilt,2006,Naves Construidas
21279,DOM-NIG,Nigua ,18.39069362,-70.04615509,1989.0,0.0,private,buiilt_2006,546041.0,buiilt,2006,Naves Construidas
21280,DOM-NII,Nigua II,18.49893041,-69.79093729,2018.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21281,DOM-NOR,Zona Franca Industrial del Norte,19.54010463,-70.79206329,2016.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21282,DOM-PAB,Palmar Abajo,0.0,0.0,1996.0,2008.0,private,buiilt_2006,121886.0,buiilt,2006,Naves Construidas
21283,DOM-PAL,La Palma ,19.47951791,-70.59727463,2004.0,0.0,private,buiilt_2006,63400.0,buiilt,2006,Naves Construidas
21284,DOM-PAM,Palmarejo ,19.53965534,-70.79354494,1997.0,0.0,private,buiilt_2006,339822.0,buiilt,2006,Naves Construidas
21285,DOM-PED,Pedernales ,18.03212506,-71.7361763,1991.0,0.0,public,buiilt_2006,60000.0,buiilt,2006,Naves Construidas
21286,DOM-PER,PERLAV,18.52899686,-69.99851177,2010.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21287,DOM-PEV,PEVISA,0.0,0.0,2004.0,2005.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21288,DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993.0,0.0,private,buiilt_2006,1014211.0,buiilt,2006,Naves Construidas
21289,DOM-PON,Pontezuela,0.0,0.0,1997.0,2012.0,private,buiilt_2006,32202.0,buiilt,2006,Naves Construidas
21290,DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983.0,0.0,mix,buiilt_2006,444629.0,buiilt,2006,Naves Construidas
21291,DOM-QUI,Quisqueya ,19.48858161,-70.65855914,2001.0,0.0,public,buiilt_2006,50929.0,buiilt,2006,Naves Construidas
21292,DOM-RAF,Don Rafael ,0.0,0.0,2002.0,2004.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21293,DOM-RIE,Los Rieles,19.48858161,-70.65855914,2013.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21294,DOM-RII,La Romana II ,18.44349389,-68.97852859,1987.0,0.0,private,buiilt_2006,385000.0,buiilt,2006,Naves Construidas
21295,DOM-RIO,Riosur ,18.5195064,-69.64306985,2017.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21296,DOM-ROB,Los Robles,0.0,0.0,2013.0,2015.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21297,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,buiilt_2006,1128599.49,buiilt,2006,Naves Construidas
21298,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,buiilt_2006,3705996.68,buiilt,2006,Naves Construidas
21299,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21300,DOM-SAL,Salcedo,0.0,0.0,1999.0,2012.0,public,buiilt_2006,48563.0,buiilt,2006,Naves Construidas
21301,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,buiilt_2006,48563.0,buiilt,2006,Naves Construidas
21302,DOM-SLI,Parque Tecnologico de Santiago ,19.4462542,-70.639953,1993.0,0.0,private,buiilt_2006,177750.0,buiilt,2006,Naves Construidas
21303,DOM-SUN,Parque Industrial Zona Franca Sunsea,0.0,0.0,2016.0,2019.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
21304,DOM-SUR,Zona Franca Ind. Del Sur,0.0,0.0,2014.0,0.0,private,buiilt_2006,0.0,buiilt,2006,Naves Construidas
