asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
77,0.204944372147,0.206507175086,0.102445074122,0.165166883366,0.205164535022,0.169027553815,0.192638043346,0.197156226959,0.183718822309,ADM2,77,77,DOM,DOM-ADM2-62336421B83190598,Sabana Larga,ADM2
78,0.282398185187,0.187178408618,0.148334558671,0.189284787797,0.216468931207,0.178663367658,0.247059107367,0.357154245471,0.244796629175,ADM2,78,78,DOM,DOM-ADM2-62336421B48046812,Sánchez,ADM2
79,0.127300648277,0.0751378680765,0.0680775312547,0.0746830923516,0.0865618992295,0.0770797393915,0.0919239971916,0.16125156895,0.119626335823,ADM2,79,79,DOM,DOM-ADM2-62336421B11979084,San José De Las Matas,ADM2
80,0.33279161154,0.12420942964,0.104380209413,0.199023263605,0.160395158446,0.130848893008,0.260366318912,0.391745023855,0.269683095275,ADM2,80,80,DOM,DOM-ADM2-62336421B50144406,Luperón,ADM2
81,0.347749955571,0.262087930671,0.171411018089,0.312646313431,0.264921682704,0.256800628047,0.350042678445,0.351188865139,0.333088369671,ADM2,81,81,DOM,DOM-ADM2-62336421B38035103,Comendador,ADM2
82,0.309408889549,0.194486687462,0.133072204893,0.282752785412,0.314695340671,0.156446921048,0.253995193624,0.409994556451,0.297703293063,ADM2,82,82,DOM,DOM-ADM2-62336421B17408360,Los Llanos,ADM2
83,0.428711164416,0.213019265228,0.211302894955,0.286111558662,0.283758689484,0.217258198866,0.351732651973,0.410731668778,0.398727148788,ADM2,83,83,DOM,DOM-ADM2-62336421B92945485,Piedra Blanca,ADM2
84,0.294766654319,0.127635537586,0.0983362226922,0.201843227178,0.171216107953,0.120684283478,0.27668827923,0.322553693711,0.271627172441,ADM2,84,84,DOM,DOM-ADM2-62336421B79374458,Guayubín,ADM2
85,30.1649336507,22.3070651802,19.579787015,22.9664670829,22.7234538642,21.8215131966,24.4322472832,28.4113286972,27.0100561149,ADM2,85,85,DOM,DOM-ADM2-62336421B47352128,Santo Domingo Este,ADM2
86,5.09633217689,3.56462509779,3.01156729138,3.95939737957,3.70824812061,3.50601744474,4.05716830096,5.4510202879,4.42145063512,ADM2,86,86,DOM,DOM-ADM2-62336421B62806346,Santo Domingo Norte,ADM2
87,30.1461692288,22.0366234704,18.7016433275,22.1311441893,22.1649543079,21.6883212702,23.0292492013,28.2039369723,25.0515596438,ADM2,87,87,DOM,DOM-ADM2-62336421B75498294,Santo Domingo Oeste,ADM2
88,0.305419643038,0.219161355561,0.232720599695,0.229227273241,0.222106232533,0.255637311099,0.263137870623,0.347600192345,0.281440296315,ADM2,88,88,DOM,DOM-ADM2-62336421B21452693,Villa Vásquez,ADM2
