,code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_f_01,tec_f_01,adm_f_01,total_f_01,total_mf_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_f_02,tec_f_02,adm_f_02,total_f_02,total_mf_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_f_03,tec_f_03,adm_f_03,total_f_03,total_mf_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_f_05,tec_f_05,adm_f_05,total_f_05,total_mf_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_f_06,tec_f_06,adm_f_06,total_f_06,total_mf_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_f_07,tec_f_07,adm_f_07,total_f_07,total_mf_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_f_08,tec_f_08,adm_f_08,total_f_08,total_mf_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_f_09,tec_f_09,adm_f_09,total_f_09,total_mf_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_f_10,tec_f_10,adm_f_10,total_f_10,total_mf_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_f_12,tec_f_12,adm_f_12,total_f_12,total_mf_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_f_14,tec_f_14,adm_f_14,total_f_14,total_mf_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_f_15,tec_f_15,adm_f_15,total_f_15,total_mf_15,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
56,DOM-NAV,Navarrete,897.0,43.0,12.0,952.0,756.0,24.0,12.0,792.0,1744.0,752.0,12.0,5.0,742.0,389.0,5.0,2.0,396.0,1138.0,490.0,20.0,4.0,514.0,485.0,6.0,4.0,495.0,1009.0,767.0,6.0,5.0,778.0,659.0,4.0,1.0,664.0,1442.0,978.0,34.0,5.0,1017.0,1004.0,27.0,3.0,1034.0,2051.0,573.0,59.0,23.0,655.0,770.0,82.0,38.0,890.0,1545.0,342.0,55.0,20.0,417.0,668.0,80.0,35.0,783.0,1200.0,185.0,35.0,6.0,226.0,398.0,15.0,9.0,422.0,648.0,432.0,31.0,10.0,473.0,391.0,3.0,7.0,401.0,874.0,367.0,17.0,10.0,394.0,376.0,8.0,6.0,390.0,784.0,489.0,17.0,6.0,512.0,331.0,6.0,6.0,343.0,855.0,609.0,19.0,10.0,638.0,476.0,15.0,10.0,501.0,1139.0,482.0,18.0,9.0,509.0,484.0,17.0,7.0,508.0,1017.0,509.0,37.0,18.0,564.0,452.0,32.0,24.0,508.0,1072.0,596.0,51.0,29.0,676.0,523.0,46.0,33.0,602.0,,697.0,89.0,41.0,827.0,746.0,74.0,46.0,866.0,1693.0
57,DOM-NIG,Nigua,479.0,45.0,65.0,589.0,1065.0,9.0,51.0,1125.0,1714.0,482.0,53.0,217.0,752.0,1043.0,17.0,126.0,1186.0,1938.0,530.0,102.0,140.0,772.0,942.0,23.0,99.0,1064.0,1836.0,473.0,136.0,77.0,686.0,686.0,25.0,54.0,765.0,1451.0,633.0,175.0,67.0,875.0,651.0,39.0,48.0,738.0,1613.0,373.0,170.0,62.0,605.0,586.0,30.0,41.0,657.0,1262.0,440.0,154.0,105.0,699.0,620.0,24.0,54.0,698.0,1397.0,455.0,122.0,90.0,667.0,630.0,30.0,47.0,707.0,1374.0,366.0,153.0,100.0,619.0,438.0,17.0,55.0,510.0,1129.0,366.0,128.0,91.0,585.0,438.0,16.0,56.0,510.0,1095.0,358.0,148.0,102.0,608.0,337.0,19.0,54.0,410.0,1018.0,441.0,192.0,123.0,756.0,486.0,39.0,57.0,582.0,1338.0,446.0,219.0,116.0,781.0,555.0,58.0,75.0,688.0,1469.0,488.0,278.0,101.0,867.0,753.0,78.0,55.0,886.0,1753.0,525.0,271.0,103.0,899.0,810.0,80.0,60.0,950.0,,643.0,325.0,116.0,1084.0,893.0,114.0,68.0,1075.0,2159.0
58,DOM-NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0
59,DOM-PAB,Palmar Abajo,620.0,91.0,5.0,716.0,843.0,23.0,17.0,883.0,1599.0,10.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,14.0,9.0,0.0,0.0,9.0,23.0,13.0,1.0,0.0,14.0,10.0,0.0,0.0,10.0,24.0,17.0,1.0,0.0,18.0,8.0,1.0,1.0,10.0,28.0,17.0,4.0,1.0,22.0,1.0,1.0,1.0,3.0,25.0,17.0,4.0,1.0,22.0,1.0,1.0,1.0,3.0,25.0,9.0,2.0,1.0,12.0,4.0,1.0,1.0,6.0,18.0,20.0,4.0,1.0,25.0,1.0,1.0,1.0,3.0,28.0,15.0,2.0,1.0,18.0,3.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
60,DOM-PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,4.0,1.0,87.0,55.0,2.0,2.0,59.0,146.0,83.0,6.0,1.0,90.0,55.0,2.0,4.0,61.0,151.0,99.0,6.0,5.0,110.0,69.0,2.0,3.0,74.0,184.0,128.0,6.0,10.0,144.0,256.0,0.0,5.0,261.0,405.0,209.0,15.0,12.0,236.0,237.0,0.0,5.0,242.0,478.0,136.0,6.0,6.0,148.0,245.0,2.0,3.0,250.0,398.0,168.0,7.0,14.0,189.0,229.0,1.0,6.0,236.0,425.0,380.0,17.0,11.0,408.0,22.0,0.0,6.0,28.0,436.0,275.0,22.0,8.0,305.0,343.0,3.0,6.0,352.0,657.0,318.0,17.0,10.0,345.0,384.0,1.0,14.0,399.0,744.0,401.0,31.0,10.0,442.0,471.0,1.0,13.0,485.0,,390.0,7.0,11.0,408.0,500.0,13.0,14.0,527.0,935.0
61,DOM-PAM,Palmarejo,328.0,61.0,17.0,406.0,354.0,26.0,11.0,391.0,797.0,312.0,59.0,18.0,389.0,303.0,23.0,10.0,336.0,725.0,349.0,49.0,16.0,414.0,299.0,35.0,11.0,345.0,759.0,337.0,47.0,44.0,428.0,324.0,22.0,20.0,366.0,794.0,419.0,90.0,12.0,521.0,515.0,44.0,24.0,583.0,1104.0,505.0,86.0,27.0,618.0,565.0,50.0,28.0,643.0,1261.0,533.0,116.0,32.0,681.0,603.0,46.0,30.0,679.0,1360.0,688.0,130.0,33.0,851.0,677.0,54.0,26.0,757.0,1608.0,488.0,66.0,34.0,588.0,444.0,56.0,37.0,537.0,1125.0,323.0,93.0,22.0,438.0,310.0,83.0,13.0,406.0,844.0,352.0,100.0,23.0,475.0,385.0,51.0,20.0,456.0,931.0,323.0,81.0,11.0,415.0,284.0,41.0,22.0,347.0,762.0,315.0,109.0,12.0,436.0,411.0,43.0,21.0,475.0,911.0,396.0,83.0,76.0,555.0,569.0,34.0,35.0,638.0,1193.0,293.0,99.0,30.0,422.0,498.0,47.0,25.0,570.0,,305.0,86.0,24.0,415.0,464.0,45.0,27.0,536.0,951.0
62,DOM-PED,Pedernales,1.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,8.0,7.0,0.0,1.0,8.0,59.0,0.0,2.0,61.0,69.0,6.0,0.0,1.0,7.0,43.0,0.0,3.0,46.0,53.0,14.0,2.0,1.0,17.0,60.0,1.0,1.0,62.0,79.0,25.0,5.0,3.0,33.0,88.0,4.0,4.0,96.0,129.0,32.0,4.0,3.0,39.0,80.0,4.0,2.0,86.0,125.0,112.0,5.0,3.0,120.0,116.0,0.0,4.0,120.0,240.0,124.0,14.0,7.0,145.0,217.0,10.0,3.0,230.0,375.0,147.0,11.0,5.0,163.0,222.0,5.0,4.0,231.0,394.0,435.0,20.0,12.0,467.0,185.0,9.0,6.0,200.0,667.0,233.0,21.0,6.0,260.0,291.0,7.0,10.0,308.0,568.0,274.0,2.0,6.0,282.0,305.0,0.0,11.0,316.0,598.0,156.0,18.0,4.0,178.0,194.0,3.0,8.0,205.0,383.0,165.0,7.0,7.0,179.0,182.0,0.0,8.0,190.0,369.0,244.0,7.0,13.0,264.0,248.0,0.0,7.0,255.0,,284.0,5.0,5.0,294.0,349.0,0.0,10.0,359.0,653.0
63,DOM-PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,103.0,42.0,172.0,99.0,85.0,34.0,218.0,390.0,100.0,45.0,87.0,232.0,168.0,57.0,83.0,308.0,540.0,108.0,31.0,31.0,170.0,144.0,53.0,40.0,237.0,407.0,101.0,55.0,30.0,186.0,160.0,68.0,46.0,274.0,460.0,102.0,55.0,31.0,188.0,147.0,66.0,40.0,253.0,,97.0,53.0,30.0,180.0,141.0,64.0,39.0,244.0,424.0
64,DOM-PEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,12.0,38.0,270.0,460.0,2.0,24.0,486.0,756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,DOM-PIS,Pisano,1206.0,192.0,111.0,1509.0,888.0,43.0,68.0,999.0,2508.0,1374.0,250.0,127.0,1751.0,692.0,51.0,82.0,825.0,2576.0,1727.0,220.0,133.0,2080.0,1132.0,61.0,90.0,1283.0,3363.0,1709.0,203.0,138.0,2050.0,1102.0,46.0,108.0,1256.0,3306.0,1933.0,254.0,183.0,2370.0,1421.0,84.0,125.0,1630.0,4000.0,1848.0,289.0,161.0,2298.0,1276.0,74.0,119.0,1469.0,3767.0,1972.0,331.0,169.0,2472.0,1323.0,63.0,128.0,1514.0,3986.0,1887.0,287.0,163.0,2337.0,1214.0,73.0,138.0,1425.0,3762.0,1711.0,344.0,171.0,2226.0,1087.0,62.0,131.0,1280.0,3506.0,1752.0,310.0,156.0,2218.0,947.0,54.0,105.0,1106.0,3324.0,2215.0,138.0,172.0,2525.0,1192.0,17.0,113.0,1322.0,3847.0,2424.0,412.0,174.0,3010.0,1399.0,75.0,121.0,1595.0,4605.0,2658.0,389.0,186.0,3233.0,1522.0,90.0,128.0,1740.0,4973.0,3251.0,498.0,263.0,4012.0,1744.0,122.0,169.0,2035.0,6047.0,3141.0,567.0,243.0,3951.0,1906.0,106.0,176.0,2188.0,,2960.0,561.0,259.0,3780.0,1875.0,95.0,184.0,2154.0,5934.0
66,DOM-PON,Pontezuela,33.0,6.0,2.0,41.0,23.0,13.0,1.0,37.0,78.0,65.0,7.0,5.0,77.0,49.0,4.0,0.0,53.0,130.0,111.0,14.0,6.0,131.0,81.0,5.0,0.0,86.0,217.0,51.0,10.0,4.0,65.0,46.0,4.0,1.0,51.0,116.0,41.0,11.0,1.0,53.0,38.0,8.0,0.0,46.0,99.0,73.0,15.0,1.0,89.0,47.0,11.0,1.0,59.0,148.0,79.0,15.0,1.0,95.0,58.0,4.0,0.0,62.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,DOM-PUE,Puerto Plata,1251.0,144.0,39.0,1434.0,1927.0,176.0,48.0,2151.0,3585.0,1190.0,175.0,47.0,1412.0,1818.0,163.0,58.0,2039.0,3451.0,1091.0,302.0,38.0,1431.0,1612.0,201.0,54.0,1867.0,3298.0,1439.0,404.0,30.0,1873.0,1384.0,175.0,42.0,1601.0,3474.0,1161.0,347.0,32.0,1540.0,1509.0,130.0,39.0,1678.0,3218.0,697.0,262.0,31.0,990.0,915.0,99.0,20.0,1034.0,2024.0,304.0,295.0,25.0,624.0,390.0,151.0,21.0,562.0,1186.0,606.0,162.0,22.0,790.0,690.0,101.0,26.0,817.0,1607.0,501.0,161.0,21.0,683.0,539.0,103.0,28.0,670.0,1353.0,368.0,117.0,22.0,507.0,427.0,42.0,25.0,494.0,1001.0,353.0,32.0,42.0,427.0,373.0,25.0,45.0,443.0,870.0,421.0,20.0,12.0,453.0,496.0,2.0,14.0,512.0,965.0,502.0,30.0,17.0,549.0,466.0,5.0,30.0,501.0,1050.0,375.0,77.0,20.0,472.0,389.0,16.0,26.0,431.0,903.0,406.0,83.0,24.0,513.0,484.0,22.0,46.0,552.0,,292.0,54.0,28.0,374.0,560.0,18.0,57.0,635.0,1009.0
68,DOM-QUI,,,,,,,,,,,13.0,20.0,2.0,35.0,3.0,1.0,1.0,5.0,40.0,39.0,30.0,7.0,76.0,12.0,1.0,2.0,15.0,91.0,90.0,35.0,5.0,130.0,5.0,2.0,2.0,9.0,139.0,40.0,21.0,6.0,67.0,5.0,0.0,3.0,8.0,75.0,,,,,,,,,,51.0,5.0,3.0,59.0,11.0,1.0,4.0,16.0,75.0,47.0,6.0,0.0,53.0,10.0,2.0,2.0,14.0,67.0,82.0,13.0,4.0,99.0,183.0,9.0,6.0,198.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,23.0,7.0,188.0,129.0,0.0,7.0,136.0,324.0,95.0,27.0,5.0,127.0,137.0,0.0,6.0,143.0,,58.0,32.0,5.0,95.0,111.0,0.0,5.0,116.0,211.0
69,DOM-RAF,,,,,,,,,,,,,,,,,,,,53.0,4.0,1.0,58.0,80.0,2.0,5.0,87.0,145.0,63.0,4.0,1.0,68.0,65.0,2.0,3.0,70.0,138.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,DOM-RIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,31.0,10.0,351.0,284.0,21.0,26.0,331.0,682.0,355.0,37.0,10.0,402.0,563.0,18.0,8.0,589.0,,416.0,25.0,3.0,444.0,569.0,20.0,2.0,591.0,1035.0
71,DOM-RII,La Romana II,403.0,102.0,40.0,545.0,1597.0,83.0,31.0,1711.0,2256.0,532.0,263.0,41.0,836.0,2041.0,198.0,30.0,2269.0,3105.0,602.0,164.0,38.0,804.0,1664.0,127.0,35.0,1826.0,2630.0,512.0,122.0,32.0,666.0,1758.0,186.0,11.0,1955.0,2621.0,534.0,77.0,27.0,638.0,1926.0,154.0,20.0,2100.0,2738.0,306.0,95.0,22.0,423.0,1437.0,24.0,18.0,1479.0,1902.0,276.0,85.0,12.0,373.0,1116.0,15.0,16.0,1147.0,1520.0,300.0,101.0,18.0,419.0,1018.0,17.0,13.0,1048.0,1467.0,299.0,98.0,22.0,419.0,1024.0,17.0,6.0,1047.0,1466.0,223.0,207.0,26.0,456.0,985.0,180.0,20.0,1185.0,1641.0,253.0,236.0,31.0,520.0,1080.0,209.0,24.0,1313.0,1833.0,265.0,258.0,63.0,586.0,1014.0,133.0,40.0,1187.0,1773.0,440.0,79.0,61.0,580.0,1359.0,31.0,35.0,1425.0,2005.0,622.0,176.0,61.0,859.0,1222.0,289.0,103.0,1614.0,2473.0,485.0,294.0,105.0,884.0,1504.0,200.0,95.0,1799.0,,508.0,211.0,102.0,821.0,1508.0,176.0,80.0,1764.0,2585.0
72,DOM-ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,24.0,4.0,66.0,0.0,16.0,9.0,25.0,91.0,43.0,24.0,5.0,72.0,0.0,22.0,7.0,29.0,,,,,,,,,,
73,DOM-ROM,La Romana I,4604.0,794.0,237.0,5635.0,7915.0,518.0,184.0,8617.0,14252.0,3993.0,718.0,197.0,4908.0,6587.0,431.0,171.0,7189.0,12097.0,3465.0,407.0,175.0,4047.0,5035.0,190.0,115.0,5340.0,9387.0,3037.0,387.0,161.0,3585.0,4827.0,356.0,108.0,5291.0,8876.0,2705.0,333.0,166.0,3204.0,4803.0,198.0,102.0,5103.0,8307.0,1366.0,218.0,138.0,1722.0,2476.0,56.0,84.0,2616.0,4338.0,1380.0,246.0,135.0,1761.0,2894.0,77.0,105.0,3076.0,4837.0,1228.0,205.0,146.0,1579.0,2700.0,55.0,97.0,2852.0,4431.0,1262.0,205.0,145.0,1612.0,2682.0,56.0,102.0,2840.0,4452.0,1059.0,194.0,155.0,1408.0,2473.0,43.0,105.0,2621.0,4029.0,1394.0,291.0,167.0,1852.0,3012.0,49.0,107.0,3168.0,5020.0,1366.0,323.0,169.0,1858.0,3150.0,61.0,108.0,3319.0,5177.0,1475.0,325.0,165.0,1965.0,2950.0,82.0,101.0,3133.0,5098.0,1357.0,198.0,202.0,1757.0,2926.0,71.0,121.0,3118.0,4875.0,1427.0,188.0,237.0,1852.0,3066.0,87.0,146.0,3299.0,,1288.0,173.0,239.0,1700.0,2922.0,136.0,155.0,3213.0,4913.0
74,DOM-S12,Santiago I II,19463.0,2296.0,673.0,22432.0,20499.0,1279.0,569.0,22347.0,44779.0,15975.0,2471.0,720.0,19166.0,17786.0,1625.0,610.0,20021.0,39187.0,18429.0,2493.0,871.0,21793.0,18297.0,1123.0,657.0,20077.0,41870.0,17499.0,2430.0,928.0,20857.0,17572.0,1306.0,738.0,19616.0,40473.0,19342.0,2192.0,955.0,22489.0,18994.0,1320.0,785.0,21099.0,43588.0,15273.0,1982.0,753.0,18008.0,14838.0,1388.0,644.0,16870.0,34878.0,12316.0,2065.0,686.0,15067.0,12664.0,1538.0,596.0,14798.0,29865.0,6623.0,974.0,510.0,8107.0,8414.0,715.0,441.0,9570.0,17677.0,5592.0,1155.0,499.0,7246.0,7843.0,798.0,453.0,9094.0,16340.0,5577.0,1036.0,490.0,7103.0,6516.0,541.0,371.0,7428.0,14531.0,5308.0,1072.0,470.0,6850.0,6227.0,511.0,344.0,7082.0,13932.0,5363.0,1014.0,495.0,6872.0,6641.0,350.0,387.0,7378.0,14250.0,6267.0,1371.0,505.0,8143.0,7445.0,436.0,428.0,8309.0,16452.0,6952.0,1449.0,512.0,8913.0,7954.0,563.0,453.0,8970.0,17883.0,7051.0,1333.0,547.0,8931.0,8331.0,409.0,544.0,9284.0,,7085.0,1631.0,556.0,9272.0,7403.0,391.0,560.0,8354.0,17626.0
75,DOM-SAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,3.0,14.0,164.0,119.0,6.0,4.0,129.0,293.0,132.0,8.0,5.0,145.0,151.0,7.0,12.0,170.0,315.0,83.0,8.0,3.0,94.0,71.0,2.0,8.0,81.0,,102.0,9.0,4.0,115.0,91.0,2.0,8.0,101.0,216.0
76,DOM-SAL,Salcedo,175.0,16.0,4.0,195.0,140.0,0.0,2.0,142.0,337.0,154.0,14.0,4.0,172.0,124.0,0.0,2.0,126.0,298.0,25.0,7.0,2.0,34.0,38.0,3.0,1.0,42.0,76.0,156.0,8.0,6.0,170.0,143.0,5.0,4.0,152.0,322.0,269.0,40.0,30.0,339.0,169.0,32.0,30.0,231.0,570.0,192.0,32.0,18.0,242.0,120.0,55.0,12.0,187.0,429.0,62.0,22.0,10.0,94.0,53.0,33.0,3.0,89.0,183.0,87.0,18.0,16.0,121.0,69.0,25.0,10.0,104.0,225.0,355.0,21.0,20.0,396.0,314.0,27.0,13.0,354.0,750.0,110.0,4.0,7.0,121.0,127.0,6.0,9.0,142.0,263.0,98.0,0.0,5.0,103.0,102.0,0.0,3.0,105.0,208.0,69.0,3.0,1.0,73.0,89.0,16.0,0.0,105.0,178.0,115.0,3.0,2.0,120.0,164.0,17.0,2.0,183.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,DOM-SEI,El Seibo,53.0,6.0,3.0,62.0,84.0,2.0,2.0,88.0,150.0,7.0,9.0,4.0,20.0,237.0,0.0,8.0,245.0,255.0,3.0,11.0,7.0,21.0,268.0,0.0,0.0,268.0,289.0,24.0,0.0,2.0,26.0,298.0,0.0,2.0,300.0,326.0,81.0,2.0,2.0,85.0,263.0,1.0,2.0,266.0,351.0,104.0,8.0,3.0,115.0,272.0,3.0,3.0,278.0,393.0,58.0,8.0,4.0,70.0,135.0,18.0,1.0,154.0,224.0,15.0,6.0,1.0,22.0,86.0,13.0,1.0,100.0,122.0,9.0,5.0,3.0,17.0,109.0,1.0,4.0,114.0,131.0,2.0,1.0,3.0,6.0,65.0,0.0,3.0,68.0,74.0,5.0,2.0,0.0,7.0,81.0,0.0,5.0,86.0,93.0,8.0,2.0,2.0,12.0,73.0,1.0,6.0,80.0,92.0,11.0,4.0,0.0,15.0,100.0,1.0,2.0,103.0,118.0,7.0,2.0,6.0,15.0,130.0,2.0,9.0,141.0,156.0,17.0,3.0,1.0,21.0,114.0,1.0,4.0,119.0,,13.0,2.0,1.0,16.0,117.0,1.0,0.0,118.0,134.0
78,DOM-SLI,Santiago-Licey,606.0,36.0,11.0,653.0,440.0,9.0,18.0,467.0,1120.0,536.0,85.0,17.0,638.0,429.0,25.0,21.0,475.0,1113.0,409.0,52.0,15.0,476.0,252.0,12.0,24.0,288.0,764.0,378.0,45.0,18.0,441.0,160.0,9.0,26.0,195.0,636.0,529.0,51.0,19.0,599.0,236.0,23.0,26.0,285.0,884.0,349.0,59.0,69.0,477.0,206.0,17.0,41.0,264.0,741.0,141.0,13.0,7.0,161.0,34.0,4.0,18.0,56.0,217.0,61.0,32.0,6.0,99.0,17.0,6.0,9.0,32.0,131.0,211.0,6.0,17.0,234.0,56.0,1.0,17.0,74.0,308.0,178.0,9.0,11.0,198.0,82.0,2.0,7.0,91.0,289.0,184.0,6.0,8.0,198.0,63.0,3.0,9.0,75.0,273.0,117.0,6.0,11.0,134.0,85.0,5.0,9.0,99.0,233.0,117.0,10.0,7.0,134.0,87.0,5.0,10.0,102.0,236.0,210.0,4.0,11.0,225.0,83.0,3.0,9.0,95.0,320.0,165.0,4.0,14.0,183.0,66.0,1.0,10.0,77.0,,179.0,7.0,14.0,200.0,73.0,1.0,13.0,87.0,287.0
79,DOM-SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,2.0,36.0,3.0,1.0,4.0,8.0,44.0
80,DOM-SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,,30.0,0.0,2.0,32.0,0.0,0.0,1.0,1.0,33.0
81,DOM-TAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,33.0,1.0,5.0,39.0,0.0,0.0,1.0,1.0,40.0
82,DOM-TAM,Tamboril,5.0,0.0,5.0,10.0,14.0,0.0,1.0,15.0,25.0,87.0,16.0,7.0,110.0,69.0,8.0,2.0,79.0,189.0,160.0,34.0,9.0,203.0,48.0,14.0,3.0,65.0,268.0,250.0,53.0,14.0,317.0,265.0,19.0,25.0,309.0,626.0,332.0,26.0,14.0,372.0,221.0,13.0,21.0,255.0,627.0,268.0,72.0,26.0,366.0,150.0,32.0,27.0,209.0,575.0,159.0,32.0,24.0,215.0,160.0,17.0,39.0,216.0,431.0,204.0,11.0,23.0,238.0,315.0,1.0,11.0,327.0,565.0,530.0,26.0,67.0,623.0,681.0,6.0,30.0,717.0,1340.0,294.0,25.0,41.0,360.0,602.0,2.0,20.0,624.0,984.0,190.0,72.0,32.0,294.0,394.0,23.0,22.0,439.0,733.0,997.0,67.0,44.0,1108.0,1819.0,45.0,75.0,1939.0,3047.0,1286.0,161.0,64.0,1511.0,2086.0,58.0,79.0,2223.0,3734.0,2113.0,398.0,92.0,2603.0,2778.0,165.0,76.0,3019.0,5622.0,1932.0,413.0,113.0,2458.0,2387.0,217.0,104.0,2708.0,,2433.0,368.0,114.0,2915.0,2452.0,144.0,93.0,2689.0,5604.0
83,DOM-VEG,La Vega,6720.0,526.0,204.0,7450.0,5597.0,277.0,156.0,6030.0,13480.0,4970.0,451.0,243.0,5664.0,4217.0,248.0,195.0,4660.0,10324.0,5415.0,542.0,140.0,6097.0,4557.0,187.0,153.0,4897.0,10994.0,5182.0,587.0,136.0,5905.0,4343.0,281.0,141.0,4765.0,10670.0,4700.0,607.0,154.0,5461.0,4393.0,241.0,157.0,4791.0,10252.0,3224.0,349.0,139.0,3712.0,2908.0,136.0,103.0,3147.0,6859.0,3032.0,383.0,140.0,3555.0,2978.0,140.0,110.0,3228.0,6783.0,2100.0,242.0,72.0,2414.0,2044.0,78.0,80.0,2202.0,4616.0,2027.0,266.0,111.0,2404.0,2027.0,64.0,71.0,2162.0,4566.0,1616.0,239.0,62.0,1917.0,1588.0,61.0,51.0,1700.0,3617.0,2528.0,332.0,58.0,2918.0,2427.0,82.0,60.0,2569.0,5487.0,2245.0,390.0,64.0,2699.0,2504.0,90.0,60.0,2654.0,5353.0,2200.0,449.0,59.0,2708.0,2404.0,122.0,51.0,2577.0,5285.0,2982.0,468.0,131.0,3581.0,2992.0,158.0,102.0,3252.0,6833.0,2901.0,453.0,77.0,3431.0,3053.0,125.0,70.0,3248.0,,2508.0,442.0,90.0,3040.0,2654.0,116.0,58.0,2828.0,5868.0
